Fecha (GMT);Nivel medio (cm);Pleamar Max. (cm);Baja Mar Min. (cm);Carrera Max. (cm)
2013 01 09;18.8;27.1;9.5;17.6
2013 01 10;18.5;30.9;4.7;26.2
2013 01 11;13.8;25.6;3.8;21.8
2013 01 12;19.6;29.4;3.7;25.7
2013 01 13;25.3;41;13.7;27.3
2013 01 14;21.6;33.9;12.5;21.4
2013 01 15;20.8;38.4;12.5;25.9
2013 01 16;20.7;31;13.4;17.6
2013 01 17;21.5;32.8;15.9;16.9
2013 01 18;-9999.9;43.7;14;29.7
2013 01 19;-9999.9;-9999.9;-9999.9;-9999.9
2013 01 20;-9999.9;-9999.9;-9999.9;-9999.9
2013 01 21;-9999.9;41.5;26.3;15.2
2013 01 22;-9999.9;41.2;30.4;10.8
2013 01 23;-9999.9;-9999.9;-9999.9;-9999.9
2013 01 24;-9999.9;43;18.4;24.6
2013 01 25;26.2;37.6;16.5;21.1
2013 01 26;29.4;45;19.3;25.7
2013 01 27;33.8;44.2;20.5;23.7
